Keyword,Weight,Keyword Translation
社会,0.0872521776435865,society
心理,0.0831310101805653,psychology
祈福,0.0751963229323409,pray
文化,0.0741774904268507,culture
社交,0.0702630339156669,social contact
个体,0.0534515261181492,individual
门票,0.053163965730954,ticket
景区,0.0463314210560821,scenic area
传统,0.0449280964220892,tradition
现象,0.0445195691969523,phenomenon
压力,0.0429582544549381,pressure
价值观,0.0427898418563913,value
人生,0.0423460213950353,life
神佛,0.0417382166222173,deity and buddha
平台,0.0413715138176899,platform
现实,0.0406393801781581,reality
不确定性,0.040310872971409,uncertainty
雍和宫,0.0395499203212014,yonghe palace
文创,0.0369626203711572,cultural and creative
烧香拜佛,0.0358598268166961,burn incense and pray
时代,0.0340497456130035,era
体验,0.0328311790011925,experience
咖啡,0.0309290733644787,coffee
网络,0.0301697231002429,network
思维,0.0291323127135689,thinking
能力,0.0283389841060998,ability
